cnt,pdate,title,description,org_link,link
51,2024-02-14 18:22:00,마이크로소프트는 왜 소형언어모델(SLM)도 주목하는가,선별된 고품질 학습 <b>데이터</b>를 사용해 보다 정확한 결과를 얻을 수 있다. 이에 반해 방대한 양의... 제니퍼 마스맨(Jennifer Marsman) 마이크로소프트 CTO오피스 수석 <b>엔지니어</b>는 &quot;멀티 모달리티(Multimodality)는... ,https://www.digitaltoday.co.kr/news/articleView.html?idxno=505909,https://www.digitaltoday.co.kr/news/articleView.html?idxno=505909
52,2024-02-14 18:20:00,"[시경Today-자동차] 로터스 에메야, 영하 40도 저온 테스트 통해 안정성 확인...",로터스자동차 <b>엔지니어</b>들이 현지에서 대여한 자동차용 냉동기를 통해 영하 40도까지 기온을 낮췄다.... 지점) <b>데이터</b> 및 실시간 교통 정보를 적용해 왔다. 또한 한국 고객에게 보다 높은 수준의 서비스를... ,http://www.meconomynews.com/news/articleView.html?idxno=88673,http://www.meconomynews.com/news/articleView.html?idxno=88673
53,2024-02-14 17:56:00,"삼성전자, 직군별 경력사원 대거 채용… 미래 기술인재 영입","2년 이상의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련 시스템 및 시스템온칩(SoC)... D램 <b>엔지니어</b>도 모집한다. ▲ 삼성전자 평택캠퍼스&lt;사진=연합뉴스&gt; 생활가전(DA) 사업부는 한종희 부회장이... ",https://sateconomy.co.kr/news/view/1065601988598995,https://sateconomy.co.kr/news/view/1065601988598995
54,2024-02-14 17:51:00,"AI 스타트업, 인재 따라 강남行 … 테헤란로 'AI밸리'로 변신중","하지만 AI <b>엔지니어</b>의 강남 선호 현상, 투자 유치를 위해 사무실을 옮긴 것이다. 회사 관계자는 &quot;AI 사업에... 이 빌딩에는 <b>데이터</b> 플랫폼 기업인 오픈서베이, AI 기업 인피닉 등이 둥지를 틀고 있다. AI 기업이 속속... ",https://www.mk.co.kr/article/10942743,https://n.news.naver.com/mnews/article/009/0005258621?sid=105
55,2024-02-14 17:48:00,"[ICT광장] AI 예술, 창작물인가? 생산품인가?","초거대 AI는 언어(텍스트) 정보를 통해 수많은 <b>데이터</b>를 학습하고 이를 토대로 인간과 유사한 판단을... AI에게 하는 질문을 프롬프트라고 하며, 대화형 AI 기술인 프롬프트를 개발하고 유지보수하는 프롬프트 <b>엔지니어</b>... ",http://www.koit.co.kr/news/articleView.html?idxno=120481,http://www.koit.co.kr/news/articleView.html?idxno=120481
56,2024-02-14 17:44:00,"'이재용의 인재 확보' 실천하는 삼성전자, 경력사원 대규모 채용",2년 이상의 AI·머신러닝·<b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련 시스템 및 시스템온칩(SoC) 개발... D램 <b>엔지니어</b>도 모집한다. 생활가전(DA) 사업부는 한종희 부회장이 강조해 온 고객 경험·멀티디바이스경험... ,http://www.g-enews.com/ko-kr/news/article/news_all/2024021415050234506ed0c62d49_1/article.html,http://www.g-enews.com/ko-kr/news/article/news_all/2024021415050234506ed0c62d49_1/article.html
57,2024-02-14 17:36:00,[문화 속 산업이야기]“우리도 AI 기업 맞다니까요?”…AI 워싱의 탐욕,"‘메간’은 로봇 <b>엔지니어</b>인 케이디의 이모가 선물했다. 부모를 잃은 케이디의 마음을 치유하고, 자신도... 전문적인 AI 개발 인력이 있는지, <b>데이터</b> 전략은 갖췄는지 등을 면밀히 따져봐야 한다.",https://kidd.co.kr/news/235709,https://kidd.co.kr/news/235709
58,2024-02-14 17:30:00,"삼성전자, 90여개 직무서 경력사원 대거 채용","2년 이상의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련 시스템 및 시스템온칩(SoC) 개발... 애플리케이션 프로세서(AP) 공급업체와 저전력 AP 설계를 위한 개선 방향을 논의할 D램 <b>엔지니어</b>도... ",https://www.mediapen.com/news/view/896933,https://www.mediapen.com/news/view/896933
59,2024-02-14 17:27:00,&quot;AI인재들 삼성 오라&quot; 경력직원 대거 채용,"영상디스플레이(VD)사업부는 2년 이상의 AI, 머신러닝, <b>데이터</b> 분석 업무 경험자와 중앙처리장치(CPU) 관련... D램 <b>엔지니어</b>를 찾고 있다. 삼성전자가 DX부문 직무 전반에 걸쳐 대거 채용에 나서는 건 지난해 실적 부진을... ",https://www.mk.co.kr/article/10942639,https://n.news.naver.com/mnews/article/009/0005258536?sid=105
60,2024-02-14 17:26:00,"스노우플레이크, 국내 '<b>데이터</b> 슈퍼히어로' 3명 선정","스노우플레이크(Snowflake)는 넥슨코리아(이하 넥슨) 이재면 <b>데이터 엔지니어</b>, 더핑크퐁컴퍼니 한예성 소프트웨어 엔지니어, 메가존클라우드 Cloud SA (Cloud Solutions Architect) 데이터팀 최경진 팀장이 '스노우플레이크 데이터... ",https://www.dailysecu.com/news/articleView.html?idxno=153549,https://www.dailysecu.com/news/articleView.html?idxno=153549
