cnt,pdate,title,description,org_link,link
763,2023-02-02 10:02:00,[real estate] 김기원 <b>데이터</b>노우즈 대표 “2024년 하반기부터 내 집 마련 기...,모든 질문에 <b>데이터</b>로 이야기하는 김기원 <b>데이터</b>노우즈 대표를 만났다. ‘둔촌주공 일병 구하기.’ 정부가... 부동산 시장 <b>분석가</b>로서 서민 주거 안정을 위한 정부의 역할은 뭐라고 생각하시나요. 부동산은 시장이... ,https://woman.donga.com/3/all/12/3915862/1,https://woman.donga.com/3/all/12/3915862/1
764,2023-02-02 09:02:00,김범 엔코아 전략사업본부장 “<b>데이터</b> 가상화-레이크 최적 조합이 중요”,<b>분석가</b>들이 필요한 <b>데이터</b>를 끌고 왔을 때 해당 <b>데이터</b>가 어떻게 생겼는지 본다. 이 때 <b>데이터</b> 모델이 필요하다. 개발자도 시스템 개발을 위해 <b>데이터</b> 모델을 봐야 한다. 엔코아는 <b>데이터</b> 모델링 도구를 갖고 있는 몇... ,http://www.datanews.co.kr/news/article.html?no=125887,http://www.datanews.co.kr/news/article.html?no=125887
765,2023-02-02 07:01:00,[뉴욕증시]&quot;파월 못 믿어&quot; 나스닥 2% 급등…메타 18%↑,오안다의 에드워드 모야 수석시장<b>분석가</b>는 “파월 의장이 처음으로 디스인플레이션 과정이 시작했다고... “경제 <b>데이터</b>가 (그동안 긴축적인) 정책을 따라잡을 때까지 연준은 그대로 있을 것”이라고 말했다.... ,http://www.edaily.co.kr/news/newspath.asp?newsid=01308726635506584,https://n.news.naver.com/mnews/article/018/0005416766?sid=101
766,2023-02-01 22:00:00,"한국머크, 지속 가능한 혁신적 반도체 소재 솔루션 공개",컨퍼런스 마지막 날인 오는 3일에는 세미콘 코리아의 인재 양성 프로그램에서 머크의 디지털 솔루션팀에서 <b>데이터 분석가</b>로 근무하는 직원이 머크 고글로벌(GO Global) 인턴 프로그램 기회를 얻게 된 배경과 특별한 직무... ,https://www.ebn.co.kr/news/view/1565209/?sc=Naver,https://www.ebn.co.kr/news/view/1565209/?sc=Naver
767,2023-02-01 15:40:00,"한국머크, 세미콘코리아서 지속가능 혁신 소재솔루션 선","또, 마지막 날인 2월 3일에는 세미콘 코리아의 인재양성프로그램에서 머크의 디지털 솔루션팀 <b>데이터 분석가</b>의 머크 고글로벌(GO Global) 인턴 프로그램 기회를 얻게 된 배경과 특별한 직무 경험을 나누며 대학생들과... ",http://amenews.kr/news/view.php?idx=52228,http://amenews.kr/news/view.php?idx=52228
768,2023-02-01 14:20:00,"[IPO] 샌즈랩, 이달 상장...&quot;톱 클래스 CTI 기업 도약&quot;",것을 <b>분석가</b> 개인에 의존하지 않고 인공지능과 <b>빅데이터</b> 기술로 이뤄낸다&quot;고 소개했다. 이어 &quot;샌즈랩의 자체 개발 프로파일링 기술은 고객에게 사전 대응할 수 있는 골든타임을 벌어준다. 통상 물리적으로... ,https://www.asiatime.co.kr/article/20230201500237,https://www.asiatime.co.kr/article/20230201500237
769,2023-02-01 11:22:00,[이원섭의 통통마컴] 넷플릭스 영화·드라마도 AI 추천으로 본다,"그 전에는 <b>데이터 분석가</b>와 마케팅 담당자 간의 협의 등 수작업으로 진행된 <b>데이터</b> 분석에 많은 시간이 소요됐지만 AI 시스템 구축으로 담당자가 직접 마케팅 대상을 선정, 신속하고 고객이 원하는 상품과 서비스를... ",http://www.insightkorea.co.kr/news/articleView.html?idxno=104357,http://www.insightkorea.co.kr/news/articleView.html?idxno=104357
770,2023-02-01 09:40:00,"샌즈랩, 2월 상장…&quot;사이버 위협 인텔리전스(CTI) 퍼스트 무버…25년 매출 30...","<b>분석가</b> 개인에 의존하지 않고 인공지능, <b>빅데이터</b>, 프로파일링 등 차세대 기술로 이를 이뤄낸다는 점에서 진일보한 방식이다. 회사는 CTI 관련 다양한 비즈니스 모델을 구축했다. 서비스 및 솔루션을 통해 갖가지... ",http://www.the-stock.kr/news/articleView.html?idxno=17780,http://www.the-stock.kr/news/articleView.html?idxno=17780
771,2023-01-31 19:52:00,"샌즈랩, 2월 15일 코스닥 상장...&quot;독보적 CTI 기술력으로 2025년 309억 매출 ...",것을 <b>분석가</b> 개인에 의존하지 않고 인공지능과 <b>빅데이터</b> 기술로 가능하다는 것. 사람이 5일 간 분석할 내용을 샌즈랩 CTI는 10분이면 보다 정확하게 분석할 수 있다고 강조했다. <b>분석가</b>의 시간과 효율성을 극대화할... ,https://www.dailysecu.com/news/articleView.html?idxno=143169,https://www.dailysecu.com/news/articleView.html?idxno=143169
772,2023-01-31 19:16:00,&quot;매파 파월 조심하라&quot;…월가 앞다퉈 `경고` [GO WEST],온라인 증권 중개회사인 XM의 수석 투자 <b>분석가</b>는 “연준이 낮은 폭의 금리 인상을 단행하는 동시에... 크리스토퍼 윌러 연준 이사는 “최근 낙관적인 <b>데이터</b>가 보여주는 속임수에 빠지면 안된다”면서 “금리 인상... ,https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202301310205&t=NNv,https://n.news.naver.com/mnews/article/215/0001080194?sid=101
773,2023-01-31 15:16:00,"샌즈랩, 내달 코스닥 도전…&quot;사이버 위협 지킴이&quot;",기술특례상장 A등급…공모자금 <b>데이터</b>센터 구축 투자 사이버 보안 솔루션 기업 샌즈랩이 내달 15일... 사이버보안 <b>분석가</b>들의 시간과 비용을 절감할 수 있는 역할을 한다&quot;고 말했다. 샌즈랩은 세계 수준의 CTI 역량을... ,https://dealsite.co.kr/articles/98193,https://dealsite.co.kr/articles/98193
774,2023-01-31 14:06:00,샌즈랩 “내달 15일 코스닥 상장 예정…글로벌 탑 클래스 CTI 기업으로 자리매...,것을 <b>분석가</b> 개인에 의존하지 않고 인공지능과 <b>빅데이터</b> 기술로 이뤄내는 것”이라고 설명했다. 샌즈랩은 국내 정보보호 분야 최초이자 유일하게 2021~2022년 연속으로 국가신기술(NET)을 획득했다. 해당 신기술을 통해... ,https://www.etoday.co.kr/news/view/2217251,https://www.etoday.co.kr/news/view/2217251
775,2023-01-31 10:00:00,딜링룸 24시…챙겨봐야 할 국제경제뉴스,투자전문 매체인 배런스에 따르면 월가의 투자금융 기관인 레드번의 <b>분석가</b>인 리들리 데이는 GE... 비슷하다고 <b>데이터</b> 트랙이 분석했다. 30일(현지시간) 마켓워치에 따르면 지난주 27일 CBOE의 VIX는 18.51로... ,http://news.einfomax.co.kr/news/articleView.html?idxno=4252437,http://news.einfomax.co.kr/news/articleView.html?idxno=4252437
776,2023-01-31 09:32:00,"비트코인, 미국 FOMC 금리 인상 앞두고 급락",코인글래스 <b>데이터</b>에 따르면 지난 24시간동안 약 4400만 달러 상당의 비트코인 롱 포지션이 선물됐으며... 외환 업체 완다의 수석 시장 <b>분석가</b> 에드워드 모야는 &quot;이번 주 주요 리스크 이벤트를 앞두고 월가가 매우... ,http://www.digitaltoday.co.kr/news/articleView.html?idxno=469233,http://www.digitaltoday.co.kr/news/articleView.html?idxno=469233
777,2023-01-30 17:18:00,음주운전 처벌 강화해주세요,"이에 효과적으로 교통범죄에 대응하기 위해 전문적인 교통범죄 <b>분석가</b>를 양성하고, <b>빅데이터</b>나 인공지능을 활용해 교통범죄 분석 프로그램을 개발해 활용해야 한다고 주장했다. 또 각 시, 군, 구에서 운영중인... ",http://www.ekoreanews.co.kr/news/articleView.html?idxno=65052,http://www.ekoreanews.co.kr/news/articleView.html?idxno=65052
778,2023-01-30 10:02:00,'다크 <b>데이터</b>'를 활용하기 위한 <b>빅데이터</b> 통합 플랫폼의 중요성,"<b>데이터</b> 엔지니어가 <b>데이터</b>를 수집하면 현업 비즈니스에 익숙한 <b>데이터</b> 관리자가 정제 작업을 진행하고, 이 <b>데이터</b>를 이용해 <b>데이터</b> 애널리스트, <b>데이터</b> 사이언티스트가 모델링을 수행한 후 비즈니스 <b>분석가</b>의 분석을... ",https://www.itbiznews.com/news/articleView.html?idxno=88853,https://www.itbiznews.com/news/articleView.html?idxno=88853
779,2023-01-30 08:20:00,[굿모닝 마켓] 시장 순항 지속될까…'첫번째 파도' FOMC 회의 코앞,과거 <b>데이터</b>를 보면 달러 인덱스가 크게 오를 때 S&amp;P500 지수는 하락하는 경향을 보였기 때문입니다. 현재 달러 인덱스 101 수준에 머물러 있습니다. 아리 왈드 오펜하이머 기술 <b>분석가</b>는 달러 인덱스가 100에 근접하는... ,https://biz.sbs.co.kr/article_hub/20000100552?division=NAVER,https://n.news.naver.com/mnews/article/374/0000320466?sid=101
780,2023-01-29 19:00:00,"[디마人]넥슨 &quot;초개인화 마케팅, 어디까지 해봤니?&quot;","지난해 개발자 채용이 굉장히 힘들어졌었는데, 가령 '<b>데이터 분석가</b>'를 뽑는다고 하면 그들이 많이 갈 것 같은 사이트나 키워드 등 여러 흔적들을 타깃팅해서 광고하는 시도들을 했다. Q. 향후 계획은? 김호연 크리에이터... ",http://www.bloter.net/newsView/blt202301290001,https://n.news.naver.com/mnews/article/293/0000042283?sid=105
781,2023-01-27 14:26:00,"[2022년 랜섬웨어 분석] 작년 랜섬웨어 총 피해액, 5천600억 이상...몸값 지급...","정보 <b>분석가</b>이자 랜섬웨어 전문가인 앨런 리스카(Allan Liska)는 많은 랜섬웨어 공격자들이 피해자들에게 돈을 지불하도록 압박하고자 피해자들로부터 훔친 <b>데이터</b>를 게시하는 <b>데이터</b> 유출 사이트(Data Leak Sites, DLS)... ",https://www.dailysecu.com/news/articleView.html?idxno=143096,https://www.dailysecu.com/news/articleView.html?idxno=143096
782,2023-01-27 07:14:00,‘11% 급등’ 테슬라·GDP 호조가 끌어올린 뉴욕증시…나스닥 1.76%↑,콘베라의 조 마님보 수석 시장 <b>분석가</b>는 로이터에 “예상을 웃돈 지표는 투자자들의 생각보다 경제가 더 많은 회복력이 지녔음을 보여준다”며 “4분기 <b>데이터</b>의 인플레이션 수치가 완화됐다는 사실은 이것이... ,http://www.kukinews.com/newsView/kuk202301270006,http://www.kukinews.com/newsView/kuk202301270006
783,2023-01-26 18:41:00,[오후초대석] 다가올 반도체 슈퍼사이클에 올라타라,"결국 기본적으로 AI는 기본 <b>데이터</b>, <b>빅데이터</b>가 많으면 점점 잘할 수밖에 없거든요. 중국 인구가 미국의... 그게 굉장히 비관적으로 보시는 시장 <b>분석가</b>들도 작년 4분기 6조 정도의 이익은 추정했었어요. 그런데 실제로... ",https://biz.sbs.co.kr/article_hub/20000100206?division=NAVER,https://n.news.naver.com/mnews/article/374/0000320154?sid=101
784,2023-01-26 14:57:00,양파·달걀 등 4000종 10분 만에 분석…남양주 도매상 확 바꿨다 [긱스],"강 CDO는 판교에선 잔뼈가 굵은 <b>데이터 분석가</b>입니다. 2002년부터 3년간 삼성전자 무선사업부에서 스마트폰 운영체제(OS)를 만들다가, 네이버 검색서버랩으로 이직하며 <b>데이터</b> 업무를 시작했습니다. “딱딱한 제조업을... ",https://www.hankyung.com/it/article/202301251821i,https://n.news.naver.com/mnews/article/015/0004803393?sid=105
785,2023-01-25 17:34:00,블로그 | 조직 내 업스킬링·리스킬링 후보자 유형 4가지,"이 직원은 예측 분석, <b>빅데이터</b> 분석 또는 머신러닝 관련 역할의 직책에 적합할 수 있다. 또한 경력 초기에 영업 사원으로 일한 비즈니스 <b>분석가</b>가 있을 수 있다. 이 직원 역시 세일즈포스와 같은 새로운 클라우드 기반... ",https://www.ciokorea.com/news/274291,https://www.ciokorea.com/news/274291
786,2023-01-25 04:41:00,"[글로벌 비즈 브리핑] MS, '챗GPT' 오픈AI에 새 투자 발표·테슬라 여전히 '러...",블룸버그 인텔리전스 <b>분석가</b> 아누라그 라나는 &quot;이번 투자는 MS가 클라우드 사업을 확장하는 데 핵심이 될 것... 시타델은 그중에서도 일반적인 경제지표가 아닌 ‘얼터너티브 <b>데이터</b>’를 적극적으로 활용한 것이 투자... ,https://biz.sbs.co.kr/article_hub/20000099783?division=NAVER,https://n.news.naver.com/mnews/article/374/0000319770?sid=101
787,2023-01-24 18:02:00,&quot;미래 먹거리 잡아라&quot;… 은행권 '디지털 인재 모시기' 활발,"채용은 <b>빅데이터</b> 분석 업무를 맡는 <b>데이터 분석가</b>와 플랫폼을 개발하는 <b>데이터</b> 엔지니어, AI R&amp;D(연구개발), AI 플랫폼 엔지니어, 디지털 서비스 기획 등 5개 분야에서 이뤄졌다. 최종 합격자는 디지털·ICT 유관부서에... ",https://www.asiatoday.co.kr/view.php?key=20230120010010955,https://www.asiatoday.co.kr/view.php?key=20230120010010955
