,기타
27,"['/', '토익:', '850,', '토익스피킹:', '150/레벨6,', '오픽:', ',', '기타:', '/', '사회생활', '경험:', '컨설팅', '인턴1회,', '스타트업', '인턴', '1회', '/', '없음', '/', '한국사검정시험:', ',', '컴퓨터활용능력:', ',', '기타:']"
28,"['/', '토익:', '790,', '토익스피킹:', ',', '오픽:', ',', '기타:', '/', '사회생활', '경험:', '인턴', '1회', '/', '빅데이터', '분석대회', '대상', '/', '한국사검정시험:', '고급,', '컴퓨터활용능력:', '1급,', '기타:', 'SQLD']"
29,"['/', '사회생활', '경험:', '디지털미디얼렙사', '6개월', '/', '대외활동', '5개,', '공모전', '4개', '/', '컴퓨터활용능력:', '2급,', '기타:', 'GAIQ,', 'Google', 'Search', 'Ads']"
30,"['/', '토익:', '705,', '토익스피킹:', ',', '오픽:', ',', '기타:', '/', '사회생활', '경험:', '공공데이터', '청년', '인턴십', '/', '국가지표', '서비스', '모니터단', '/', '한국사검정시험:', '고급,', '컴퓨터활용능력:', ',', '기타:', 'ADSP,', 'DASP,', '사회조사분석사', '2급']"
31,"['/', '토익:', ',', '토익스피킹:', ',', '오픽:', 'IL,', '기타:', '/', '사회생활', '경험:', 'gs25편의점', '아르바이트', '3년', '반', '/', '대외활동', '다수,', '공모전', '1번', '/', '한국사검정시험:', ',', '컴퓨터활용능력:', '2급,', '기타:']"
32,"['/', '토익:', '775,', '토익스피킹:', ',', '오픽:', ',', '기타:', '/', '사회생활', '경험:', '/', '해외봉사', '/', '한국사검정시험:', ',', '컴퓨터활용능력:', ',', '기타:', '정보처리기사']"
33,"['/', '토익:', '845,', '토익스피킹:', ',', '오픽:', ',', '기타:', '/', '사회생활', '경험:', '/', '한국사검정시험:', '고급,', '컴퓨터활용능력:', '1급,', '기타:']"
34,"['/', '토익:', '845,', '토익스피킹:', ',', '오픽:', ',', '기타:', '/', '사회생활', '경험:', '/', '한국사검정시험:', '고급,', '컴퓨터활용능력:', '1급,', '기타:']"
35,"['/', '토익:', '850,', '토익스피킹:', ',', '오픽:', ',', '기타:', '/', '사회생활', '경험:', '과사', '근로', '/', '한국사검정시험:', '고급,', '컴퓨터활용능력:', '1급,', '기타:']"
36,"['/', '토익:', '820,', '토익스피킹:', '140/레벨', '6', '/', '사회생활', '경험:', '현대디지텍', '6개월']"
