,순위,제목
0,1,2024 SD에듀 유선배 SQL개발자(SQLD) 과외노트
1,2,조코딩의 챗GPT API를 활용한 수익형 웹 서비스 만들기
2,3,혼자 공부하는 컴퓨터 구조 + 운영체제
3,4,모던 리액트 Deep Dive
4,5,비전공자도 이해할 수 있는 AI 지식 (챗GPT 수록 개정판)
5,6,국가공인 SQLP 자격검정 핵심노트 2
6,7,혼자 공부하는 SQL
7,8,You Don’t Know JS Yet
8,9,개발자를 위한 최소한의 실무 지식
9,10,객체지향의 사실과 오해
10,11,국가공인 SQLP 자격검정 핵심노트 1
11,12,파이썬을 이용한 퀀트 투자 포트폴리오 만들기
12,13,원쌤의 리액트 퀵스타트 with 타입스크립트
13,14,언리얼 엔진 5로 제작하는 실시간 VFX
14,15,면접을 위한 CS 전공지식 노트
15,16,혼자 공부하는 C 언어
16,17,SQL 전문가 가이드
17,18,그림으로 이해하는 네트워크 용어
18,19,아는 만큼 보이는 프런트엔드 개발
19,20,제로부터 시작하는 러스트 백엔드 프로그래밍
20,21,UX/UI의 10가지 심리학 법칙
21,22,Do it! 알고리즘 코딩 테스트 : 파이썬 편
22,23,우아한 타입스크립트 with 리액트
23,24,이것이 자료구조+알고리즘이다 with C 언어
24,25,GPT-4를 활용한 인공지능 앱 개발
25,26,모두의 리눅스
26,27,유니티 교과서
27,28,그림으로 배우는 리눅스 구조
28,29,이것이 취업을 위한 백엔드 개발이다 with 자바
29,30,스트리트 코더
30,31,아는 만큼 보이는 백엔드 개발
31,32,당당한 디자인 결정을 위한 9가지 방법
32,33,"피, 땀, 리셋"
33,34,러닝 레이
34,35,이것이 취업을 위한 코딩 테스트다 with 파이썬
35,36,혼자 공부하는 얄팍한 코딩 지식
36,37,코딩 자율학습 나도코딩의 C 언어 입문
37,38,로호의 배경 일러스트 메이킹
38,39,친절한 SQL 튜닝
39,40,헤드 퍼스트 디자인 패턴
40,41,한 권으로 읽는 컴퓨터 구조와 프로그래밍
41,42,레트로의 유니티 게임 프로그래밍 에센스
42,43,육각형 개발자
43,44,그림으로 공부하는 IT 인프라 구조
44,45,코딩 자율학습 스프링 부트 3 자바 백엔드 개발 입문
45,46,대마왕의 유니티 URP 셰이더 그래프 스타트업
46,47,기술 면접 대비 CS 전공 핵심요약집
47,48,데이터 시각화와 탐색 with POWER BI 2nd
48,49,6개월 치 업무를 하루 만에 끝내는 업무 자동화
49,50,마이크로서비스 아키텍처 구축
